feature,importance
distance_from_home,0.6164402
amount_to_avg_ratio,0.12888041
amount_deviation,0.09033435
distance_risk,0.061188746
hour_deviation,0.019915106
time_since_last_txn,0.017430456
txn_velocity_24h,0.008532698
txn_velocity_1h,0.0070430343
amount_log,0.0068146423
hour,0.006631588
device_type,0.006261886
merchant_category,0.0054898695
hour_sin,0.0043209335
hour_cos,0.004222282
amount_zscore,0.003599957
is_night,0.0031057182
num_transactions_last_1h,0.0026505596
is_weekend,0.002618431
amount,0.0024026802
num_transactions_last_24h,0.0021164168
time_risk,0.0
